YearWeekISO,FirstDose,FirstDoseRefused,SecondDose,UnknownDose,NumberDosesReceived,Region,Population,ReportingCountry,TargetGroup,Vaccine,Denominator
2021-W03,29454,,1129,0,58500,AT,8901064,AT,Age25_49,COM,3006228
2021-W03,0,,0,0,0,AT,8901064,AT,Age25_49,UNK,3006228
2021-W03,0,,0,0,0,AT,8901064,AT,Age25_49,JANSS,3006228
2021-W03,0,,0,0,0,AT,8901064,AT,Age25_49,AZ,3006228
2021-W03,0,,0,0,0,AT,8901064,AT,Age50_59,JANSS,1396889
2021-W03,0,,0,0,0,AT,8901064,AT,Age50_59,AZ,1396889
2021-W03,57,,0,0,0,AT,8901064,AT,Age50_59,MOD,1396889
2021-W03,18627,,883,0,58500,AT,8901064,AT,Age50_59,COM,1396889
2021-W03,1,,0,0,0,AT,8901064,AT,Age50_59,UNK,1396889
2021-W03,0,,0,0,0,AT,8901064,AT,Age5_9,UNK,
2021-W03,1,,0,0,58500,AT,8901064,AT,Age5_9,COM,
2021-W03,0,,0,0,0,AT,8901064,AT,Age5_9,JANSS,
2021-W03,0,,0,0,0,AT,8901064,AT,Age5_9,AZ,
2021-W03,0,,0,0,0,AT,8901064,AT,Age5_9,MOD,
2021-W03,1,,0,0,0,AT,8901064,AT,Age60_69,UNK,1016016
2021-W03,11,,0,0,0,AT,8901064,AT,Age60_69,MOD,1016016
2021-W03,0,,0,0,0,AT,8901064,AT,Age60_69,AZ,1016016
2021-W03,8247,,512,0,58500,AT,8901064,AT,Age60_69,COM,1016016
2021-W03,0,,0,0,0,AT,8901064,AT,Age60_69,JANSS,1016016
2021-W03,0,,0,0,0,AT,8901064,AT,Age70_79,AZ,769199
2021-W03,0,,0,0,0,AT,8901064,AT,Age70_79,UNK,769199
2021-W03,8,,0,0,0,AT,8901064,AT,Age70_79,MOD,769199
2021-W03,6617,,469,0,58500,AT,8901064,AT,Age70_79,COM,769199
2021-W03,0,,0,0,0,AT,8901064,AT,Age70_79,JANSS,769199
2021-W03,26991,,1404,0,58500,AT,8901064,AT,Age80+,COM,474047
2021-W03,0,,0,0,0,AT,8901064,AT,Age80+,UNK,474047
2021-W03,0,,0,0,0,AT,8901064,AT,Age80+,JANSS,474047
2021-W03,11,,0,0,0,AT,8901064,AT,Age80+,MOD,474047
2021-W03,0,,0,0,0,AT,8901064,AT,Age80+,AZ,474047
2021-W03,0,,0,0,0,AT,8901064,AT,Age<18,AZ,
2021-W03,0,,0,0,0,AT,8901064,AT,Age<18,UNK,
